,AVG_INCOME_USD,country,rural_urban,REMESA_AMOUNT_USD,REMESA_AMOUNT_REGPERMONTH,pct_remit_towards_Foodpurchase,pct_remit_towards_Healthexpenses(medicines/medicalconsultation),"pct_remit_towards_ExpensesrelatedtoCOVID-19(protectionsupplies,medicalconsultation,medicines)",pct_remit_towards_Educationexpenses,"pct_remit_towards_Paymentofservices(water,electricity,cable,internet,communication)",pct_remit_towards_Clothesandshoes,pct_remit_towards_Housing(constructionorrepair),pct_remit_towards_Housingrentalfee,pct_remit_towards_Homepurchasefee,pct_remit_towards_Purchaseofagriculturalinputs,pct_remit_towards_Business(trade),pct_remit_towards_Saving,pct_remit_towards_Paymentofcommitmentsofmembersresidingabroad,pct_remit_towards_Paymentofthesender'straveldebt,pct_remit_towards_Paymentofotherdebts,pct_remit_towards_Other
3152,1000.0,SLV,1,1000.0,1000.0,25.0,65.0,,,10.0,,,,,,,,,,,
3160,200.0,SLV,1,100.0,50.0,,,,,,,,,,,,,,,,100.0
3161,50.0,SLV,1,50.0,25.0,50.0,,,,50.0,,,,,,,,,,,
3166,240.0,SLV,1,30.0,30.0,80.0,20.0,,,,,,,,,,,,,,
3168,800.0,SLV,1,200.0,400.0,50.0,,,,20.0,,30.0,,,,,,,,,
3169,26.65,HND,1,26.65,53.3,30.0,20.0,,,50.0,,,,,,,,,,,
3173,39.975,HND,1,18.655,3.109166666666667,25.0,,75.0,,,,,,,,,,,,,
3174,14.924,HND,1,11.726,11.726,30.0,50.0,,,,,,,,,,20.0,,,,
3179,23.985,HND,2,6.396000000000001,1.066,75.0,,,25.0,,,,,,,,,,,,
3180,42.64,HND,2,25.584000000000003,4.264,,,,,,,,,,,,,,,,100.0
3184,100.0,SLV,1,50.0,8.333333333333334,60.0,,,,,40.0,,,,,,,,,,
3185,350.0,SLV,1,100.0,33.333333333333336,100.0,,,,,,,,,,,,,,,
3187,500.0,SLV,1,280.0,280.0,80.0,20.0,,,,,,,,,,,,,,
3189,600.0,SLV,1,40.0,20.0,100.0,,,,,,,,,,,,,,,
3192,200.0,SLV,1,100.0,100.0,10.0,80.0,,,,10.0,,,,,,,,,,
3199,600.0,SLV,2,500.0,1000.0,50.0,25.0,,,25.0,,,,,,,,,,,
3202,1000.0,SLV,2,800.0,800.0,,70.0,,,,,,30.0,,,,,,,,
3214,200.0,SLV,2,100.0,100.0,70.0,,,,30.0,,,,,,,,,,,
3215,100.0,SLV,2,100.0,100.0,80.0,,,,20.0,,,,,,,,,,,
3216,300.0,SLV,2,225.0,75.0,,,,100.0,,,,,,,,,,,,
3217,200.0,SLV,2,200.0,33.333333333333336,60.0,,,,40.0,,,,,,,,,,,
3220,100.0,SLV,2,100.0,100.0,40.0,20.0,,,30.0,,,,,,,,,,,
3222,20.0,SLV,2,50.0,8.333333333333334,60.0,40.0,,,,,,,,,,,,,,
3223,475.0,SLV,2,300.0,100.0,,100.0,,,,,,,,,,,,,,
3226,150.0,SLV,1,90.0,15.0,100.0,,,,,,,,,,,,,,,
3231,800.0,SLV,1,100.0,100.0,,,,,100.0,,,,,,,,,,,
3232,250.0,SLV,1,100.0,100.0,80.0,,,,20.0,,,,,,,,,,,
3235,275.0,SLV,1,200.0,200.0,,100.0,,,,,,,,,,,,,,
3236,210.0,SLV,1,150.0,150.0,60.0,,,40.0,,,,,,,,,,,,
3249,250.0,SLV,1,200.0,860.0,50.0,,,,50.0,,,,,,,,,,,
3254,1.5990000000000002,HND,2,15.99,15.99,70.0,15.0,,,,15.0,,,,,,,,,,
3255,53.3,HND,2,53.3,53.3,70.0,20.0,,10.0,,,,,,,,,,,,
3256,15.99,HND,2,5.33,1.7766666666666666,70.0,10.0,,20.0,,,,,,,,,,,,
3262,80.0,SLV,1,100.0,100.0,90.0,,,,10.0,,,,,,,,,,,
3263,90.0,SLV,1,150.0,75.0,80.0,20.0,,,,,,,,,,,,,,
3279,100.0,SLV,1,50.0,4.166666666666667,100.0,,,,,0.0,,,,,,,,,,
3289,150.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
3291,35.0,SLV,1,50.0,16.666666666666668,10.0,20.0,,,,20.0,,,,,,,,,,
3292,350.0,SLV,1,100.0,50.0,100.0,,,,,,,,,,,,,,,
3302,21.32,HND,1,50.0,8.333333333333334,100.0,,,,,,,,,,,,,,,
3304,26.65,HND,1,50.0,8.333333333333334,100.0,,,,,,,,,,,,,,,
3308,21.32,HND,1,10.66,45.838,80.0,,,,,,,,,,,,,,,
3320,14.924,GT,1,3.731,7.462000000000001,50.0,,,,50.0,,,,,,,,,,,
3342,7.995,GT,2,10.66,3.553333333333333,50.0,,,,50.0,,,,,,,,,,,
3347,13.325,GT,1,13.325,13.325,30.0,70.0,,,,,,,,,,,,,,
3358,13.325,GT,1,3.731,1.2436666666666667,100.0,,,,,,,,,,,,,,,
3366,7.462000000000001,GT,1,6.396,2.132,,,,,,,,,,,,,,,,
3371,10.66,GT,2,10.66,10.66,70.0,,,,30.0,,,,,,,,,,,
3378,45.305,GT,2,200.0,200.0,,,,,,,,,,,,,,,,
3380,45.305,GT,2,1000.0,1000.0,60.0,20.0,,,20.0,,,,,,,,,,,
3387,4.264,GT,1,300.0,25.0,50.0,,,,,50.0,,,,,,,,,,
3388,1200.0,GT,1,300.0,1290.0,50.0,25.0,25.0,,,,,,,,,,,,,
3393,9.594,GT,1,3.9975,3.9975,50.0,,,,50.0,,,,,,,,,,,
3394,9.061,GT,1,3.731,1.8655,100.0,,,,,,,,,,,,,,,
3414,10.66,GT,2,2.665,0.8883333333333333,75.0,,,,25.0,,,,,,,,,,,
3415,7.995,GT,2,15.99,7.995,,,,,,,,,100.0,,,,,,,
3423,10.66,GT,1,7.995,7.995,50.0,,,,30.0,20.0,,,,,,,,,,
3427,26.65,GT,1,7.995,7.995,70.0,,,,30.0,,,,,,,,,,,
3429,1.8655,GT,1,2.9315,0.9771666666666668,50.0,25.0,,,25.0,,,,,,,,,,,
3432,7.995,GT,1,15.99,5.33,,100.0,,,,,,,,,,,,,,
3436,5.33,GT,1,7.995,7.995,20.0,80.0,,,,,,,,,,,,,,
3439,5.33,GT,1,3.9975,0.66625,,100.0,,,,,,,,,,,,,,
3443,21.32,GT,1,10.66,10.66,80.0,,,,20.0,,,,,,,,,,,
3446,15.99,GT,1,7.995,3.9975,50.0,,,,50.0,,,,,,,,,,,
3447,7.995,GT,1,1.599,0.7995,,,,,,,,,,,,,,,,
3453,7.995,GT,1,4.264,4.264,100.0,,,,,,,,,,,,,,,
3459,63.96,HND,1,15.99,15.99,50.0,50.0,,,,,,,,,,,,,,
3460,31.98,HND,1,15.99,31.98,50.0,50.0,,,,,,,,,,,,,,
3462,37.31,HND,1,11.726,11.726,100.0,,,,,,,,,,,,,,,
3463,36.244,HND,2,25.584000000000003,8.528,100.0,,,,,,,,,,,,,,,
3466,42.64,HND,2,53.3,106.6,,,,,,,,,,,,100.0,,,,
3471,57.564,HND,1,100.0,16.666666666666668,50.0,50.0,,,,,,,,,,,,,,
3494,425.0,SLV,1,150.0,300.0,75.0,25.0,,,,,,,,,,,,,,
3499,150.0,SLV,1,150.0,50.0,,,,,,,,,,,,,,,,
3500,250.0,SLV,1,150.0,150.0,75.0,,,,25.0,,,,,,,,,,,
3501,150.0,SLV,1,100.0,100.0,50.0,,,,50.0,,,,,,,,,,,
3503,80.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,
3507,180.0,SLV,1,100.0,33.333333333333336,100.0,,,,,,,,,,,,,,,
3509,50.0,SLV,1,50.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
3517,800.0,SLV,2,150.0,645.0,,,,,,,,,,,,,,,,
3531,200.0,SLV,1,200.0,16.666666666666668,70.0,,,,30.0,,,,,,,,,,,
3534,47.437,HND,1,120.0,60.0,50.0,50.0,,,,,,,,,,,,,,
3537,26.65,HND,1,26.65,26.65,,,,,,,,,,,,,,,,
3539,70.0,SLV,1,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,
3540,360.0,SLV,1,50.0,16.666666666666668,50.0,,,,,,,,,25.0,,,,,,25.0
3544,80.0,SLV,2,50.0,50.0,50.0,25.0,,,25.0,,,,,,,,,,,
3547,1000.0,SLV,2,250.0,41.66666666666666,50.0,50.0,,,,,,,,,,,,,,
3550,500.0,SLV,2,60.0,10.0,100.0,,,,,,,,,,,,,,,
3551,600.0,SLV,2,200.0,200.0,50.0,,,,50.0,,,,,,,,,,,
3555,275.0,SLV,2,200.0,400.0,,100.0,,,,,,,,,,,,,,
3567,500.0,SLV,2,200.0,400.0,80.0,,,,20.0,,,,,,,,,,,
3568,100.0,SLV,2,50.0,4.166666666666667,100.0,,,,,,,,,,,,,,,
3570,150.0,SLV,1,60.0,30.0,100.0,,,,,,,,,,,,,,,
3574,120.0,SLV,1,100.0,50.0,75.0,,,,25.0,,,,,,,,,,,
3577,100.0,SLV,2,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,
3578,80.0,SLV,2,50.0,8.333333333333334,30.0,,,,70.0,,,,,,,,,,,
3580,150.0,SLV,2,100.0,100.0,60.0,20.0,,,20.0,,,,,,,,,,,
3581,50.0,SLV,2,50.0,100.0,100.0,,,,,,,,,,,,,,,
3586,150.0,SLV,1,200.0,200.0,50.0,,,,10.0,,,,,,,,,40.0,,
