Household,avg_income_usd,country,rural_urban,remesa_amount_usd,monthly_remesa_amount,Food,Health,COVID_19,Education,Utilities,ClothesandShoes,Housing,HousingRental,HomePurchase,AgriculturalInputs,BusinessVentures,Saving,MigantsComittments,MigrationLoanDebt,OtherDebts,Other,Tsum_check
299,15.99,GT,2,7.995,7.995,50.0,25.0,,25.0,,,,,,,,,,,,,100.0
300,47.97,GT,2,5.33,5.33,50.0,50.0,,,,,,,,,,,,,,,100.0
301,600.0,HND,2,100.0,430.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
302,15.99,HND,1,10.66,10.66,50.0,25.0,,25.0,,,,,,,,,,,,,100.0
303,800.0,HND,2,400.0,800.0,50.0,25.0,,,,,,,,,,25.0,,,,,100.0
304,10.66,HND,2,12.792000000000002,12.792000000000002,50.0,30.0,,,20.0,,,,,,,,,,,,100.0
305,7.995,HND,2,7.462,7.462,100.0,,,,,,,,,,,,,,,,100.0
306,10.66,HND,2,6.929,3.4645,100.0,,,,,,,,,,,,,,,,100.0
307,5.33,HND,2,5.33,0.8883333333333333,50.0,,,,50.0,,,,,,,,,,,,100.0
308,10.66,HND,1,10.66,10.66,100.0,,,,,,,,,,,,,,,,100.0
309,10.66,HND,1,10.66,10.66,30.0,,,,,,,,,,,,,,,70.0,100.0
310,10.66,HND,1,7.995,2.665,50.0,30.0,,,20.0,,,,,,,,,,,,100.0
311,10.66,HND,1,10.66,3.5533333333333332,,100.0,,,,,,,,,,,,,,,100.0
312,10.66,HND,2,10.66,10.66,50.0,30.0,,,20.0,,,,,,,,,,,,100.0
313,31.98,HND,2,31.98,31.98,50.0,20.0,,30.0,,,,,,,,,,,,,100.0
314,800.0,SLV,1,100.0,50.0,50.0,,,,40.0,10.0,,,,,,,,,,,100.0
315,600.0,SLV,1,200.0,66.66666666666667,100.0,,,,,,,,,,,,,,,,100.0
316,100.0,SLV,1,50.0,8.333333333333334,,100.0,,,,,,,,,,,,,,,100.0
317,26.650000000000002,HND,1,4.797,2.3985,50.0,,50.0,,,,,,,,,,,,,,100.0
318,250.0,SLV,2,70.0,70.0,100.0,,,,,,,,,,,,,,,,100.0
319,200.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0
320,150.0,SLV,1,100.0,100.0,100.0,,,,,,,,,,,,,,,,100.0
321,150.0,SLV,1,100.0,33.333333333333336,50.0,,,,50.0,,,,,,,,,,,,100.0
